ResponseId,Age,Gender,Sexuality,Country,EdLevel,LearnCode,Employment,ConvertedCompYearly,YearsLearnPro,Degree
437,25-34 years old,Man,LGBT / Non-hetero,Bolivia,"Professional degree (JD, MD, etc.)",Non-traditional,Employed,17352.0,2.0,Yes
444,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,,5.0,Yes
484,35-44 years old,Man,Straight / Heterosexual,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,279774.0,2.0,Yes
493,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,34591.0,6.0,Yes
504,35-44 years old,Man,LGBT / Non-hetero,Spain,"Other doctoral degree (Ph.D., Ed.D., etc.)",Non-traditional,Employed,64859.0,5.0,Yes
520,35-44 years old,Other,LGBT / Non-hetero,Spain,,,Employed,,,Yes
521,25-34 years old,Man,Straight / Heterosexual,Uruguay,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,,2.0,Yes
535,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,96204.0,4.0,Yes
539,18-24 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Both,Employed,20539.0,4.0,No
562,Under 18 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,,,,No
617,35-44 years old,Other,LGBT / Non-hetero,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,,4.0,Yes
632,18-24 years old,Man,Straight / Heterosexual,Bolivia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,"Independent contractor, freelancer, or self-employed",5208.0,5.0,Yes
678,25-34 years old,Man,Straight / Heterosexual,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Both,Employed,16215.0,4.0,No
682,> 45 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,45396.0,5.0,Yes
692,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,22536.0,1.0,Yes
712,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,"Independent contractor, freelancer, or self-employed",41232.0,2.0,Yes
735,25-34 years old,Man,Straight / Heterosexual,Brazil,"Professional degree (JD, MD, etc.)",Non-traditional,Employed,10992.0,0.0,Yes
744,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Not employed,,,Yes
802,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,5496.0,5.0,Yes
807,25-34 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Non-traditional,"Independent contractor, freelancer, or self-employed",65976.0,4.0,No
816,35-44 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,51888.0,,Yes
817,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,"Independent contractor, freelancer, or self-employed",59448.0,2.0,Yes
824,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",180000.0,10.0,Yes
825,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,17868.0,2.0,Yes
835,18-24 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Non-traditional,Employed,9729.0,2.0,No
848,35-44 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Non-traditional,Employed,41232.0,3.0,No
888,18-24 years old,Other,LGBT / Non-hetero,Brazil,"Professional degree (JD, MD, etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",,,Yes
896,35-44 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,,3.5,Yes
932,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,6324.0,4.0,Yes
949,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,33552.0,7.0,Yes
970,> 45 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,,7.0,Yes
977,25-34 years old,Man,Straight / Heterosexual,Uruguay,"Professional degree (JD, MD, etc.)",Both,Employed,54000.0,5.0,Yes
984,> 45 years old,Man,Straight / Heterosexual,Brazil,Primary/elementary school,Non-traditional,Employed,,,No
1035,> 45 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Non-traditional,Employed,58373.0,5.0,No
1036,25-34 years old,Man,Straight / Heterosexual,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,47184.0,5.0,Yes
1046,18-24 years old,Man,Straight / Heterosexual,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Not employed,,,Yes
1080,35-44 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,,,Yes
1093,25-34 years old,Man,Straight / Heterosexual,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,29088.0,1.0,Yes
1095,18-24 years old,Man,Straight / Heterosexual,Spain,"Professional degree (JD, MD, etc.)",Both,Not employed,,,Yes
1111,25-34 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Not employed,,,No
1145,25-34 years old,Man,Straight / Heterosexual,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,22584.0,8.0,Yes
1172,18-24 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,9072.0,1.0,No
1174,> 45 years old,Man,Straight / Heterosexual,Ecuador,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,36000.0,4.0,Yes
1175,18-24 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,1104.0,9.0,No
1198,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,"Independent contractor, freelancer, or self-employed",11304.0,4.0,Yes
1202,35-44 years old,Man,Straight / Heterosexual,Argentina,Some college/university study without earning a degree,Both,"Independent contractor, freelancer, or self-employed",100000.0,3.0,No
1212,25-34 years old,Woman,LGBT / Non-hetero,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,18326.0,2.0,Yes
1216,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,21996.0,2.0,Yes
1230,18-24 years old,Man,Straight / Heterosexual,Colombia,Some college/university study without earning a degree,Non-traditional,Employed,9540.0,3.5,No
1251,35-44 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,,5.0,Yes
1256,25-34 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Both,Student,,,No
1258,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Not employed,,,Yes
1264,25-34 years old,Man,Straight / Heterosexual,Mexico,"Professional degree (JD, MD, etc.)",Both,Employed,7000.0,14.5,Yes
1275,25-34 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Non-traditional,Employed,18160.0,4.5,No
1285,18-24 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,,,Yes
1327,35-44 years old,Man,Straight / Heterosexual,Argentina,"Other doctoral degree (Ph.D., Ed.D., etc.)",Non-traditional,Employed,14016.0,0.0,Yes
1363,35-44 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,67550.0,,Yes
1367,18-24 years old,Man,LGBT / Non-hetero,Brazil,Some college/university study without earning a degree,Both,Employed,5496.0,3.0,No
1423,25-34 years old,Man,Straight / Heterosexual,Brazil,"Associate degree (A.A., A.S., etc.)",Non-traditional,Employed,16035.0,6.0,Yes
1429,25-34 years old,Man,Straight / Heterosexual,Colombia,Some college/university study without earning a degree,Non-traditional,Employed,8124.0,5.0,No
1450,18-24 years old,Other,LGBT / Non-hetero,Spain,"Associate degree (A.A., A.S., etc.)",Both,Employed,32429.0,4.0,Yes
1458,35-44 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,30240.0,12.0,Yes
1460,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,15888.0,5.0,Yes
1464,Under 18 years old,Man,LGBT / Non-hetero,Colombia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",,,No
1490,25-34 years old,Man,Straight / Heterosexual,Spain,"Associate degree (A.A., A.S., etc.)",Both,Employed,81074.0,4.0,Yes
1523,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,,6.0,Yes
1527,25-34 years old,Man,Straight / Heterosexual,Peru,Some college/university study without earning a degree,Non-traditional,"Independent contractor, freelancer, or self-employed",,,No
1532,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,32429.0,8.0,Yes
1544,18-24 years old,Man,Straight / Heterosexual,Guatemala,Something else,Both,Student,,,No
1568,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,"Independent contractor, freelancer, or self-employed",54972.0,4.0,Yes
1572,25-34 years old,Man,LGBT / Non-hetero,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,30267.0,6.0,Yes
1574,25-34 years old,Woman,LGBT / Non-hetero,Brazil,"Associate degree (A.A., A.S., etc.)",Both,Employed,26796.0,4.0,Yes
1598,35-44 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Non-traditional,Not employed,,,No
1601,18-24 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,26484.0,4.0,Yes
1610,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,28248.0,0.0,Yes
1626,25-34 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Both,"Independent contractor, freelancer, or self-employed",13740.0,0.0,No
1639,25-34 years old,Man,LGBT / Non-hetero,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,82464.0,1.0,Yes
1645,25-34 years old,Woman,Straight / Heterosexual,Paraguay,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,6432.0,4.0,Yes
1656,25-34 years old,Woman,Straight / Heterosexual,Paraguay,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,60000.0,6.0,Yes
1673,25-34 years old,Man,Straight / Heterosexual,Spain,"Professional degree (JD, MD, etc.)",Non-traditional,Not employed,,,Yes
1691,35-44 years old,Man,LGBT / Non-hetero,Brazil,Some college/university study without earning a degree,Non-traditional,Employed,65976.0,9.0,No
1692,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,27492.0,5.0,Yes
1694,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,37834.0,5.0,Yes
1742,Under 18 years old,Woman,Straight / Heterosexual,Argentina,Something else,Non-traditional,Student,,,No
1749,25-34 years old,Man,Straight / Heterosexual,Guatemala,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,10486.0,5.0,Yes
1760,25-34 years old,Man,Straight / Heterosexual,Uruguay,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,63528.0,4.0,Yes
1764,35-44 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Non-traditional,Employed,97288.0,5.0,No
1786,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,492912.0,6.0,Yes
1812,> 45 years old,Man,Straight / Heterosexual,Brazil,"Associate degree (A.A., A.S., etc.)",Non-traditional,Employed,,,Yes
1831,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,86478.0,5.0,Yes
1842,35-44 years old,Man,Straight / Heterosexual,Argentina,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,63252.0,1.0,Yes
1844,25-34 years old,Man,Straight / Heterosexual,Spain,"Associate degree (A.A., A.S., etc.)",Non-traditional,Employed,75669.0,7.0,Yes
1869,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,28536.0,2.0,Yes
1889,25-34 years old,Man,Straight / Heterosexual,Brazil,"Professional degree (JD, MD, etc.)",Both,Employed,17868.0,6.0,Yes
1928,35-44 years old,Man,LGBT / Non-hetero,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,39347.0,8.0,Yes
1953,25-34 years old,Man,LGBT / Non-hetero,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Not employed,,10.0,Yes
1971,25-34 years old,Man,Straight / Heterosexual,Argentina,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,56832.0,3.0,No
2099,18-24 years old,Man,Straight / Heterosexual,Mexico,Some college/university study without earning a degree,Non-traditional,Employed,,,No
2101,25-34 years old,Man,Straight / Heterosexual,Argentina,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,43200.0,3.0,No
2106,35-44 years old,Man,LGBT / Non-hetero,Panama,"Associate degree (A.A., A.S., etc.)",Traditional,"Independent contractor, freelancer, or self-employed",576000.0,1.0,Yes
2118,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",16488.0,1.0,Yes
2123,35-44 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,43239.0,19.0,Yes
2134,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,25944.0,6.0,Yes
2167,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,61616.0,2.0,Yes
2213,25-34 years old,Man,Straight / Heterosexual,Spain,"Other doctoral degree (Ph.D., Ed.D., etc.)",Non-traditional,Employed,28105.0,7.0,Yes
2223,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,41232.0,7.0,Yes
2253,25-34 years old,Man,Straight / Heterosexual,Chile,"Professional degree (JD, MD, etc.)",Both,Employed,15053.0,5.0,Yes
2257,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Employed,27492.0,3.0,Yes
2263,25-34 years old,Man,Straight / Heterosexual,Brazil,"Professional degree (JD, MD, etc.)",Non-traditional,Employed,27492.0,1.0,Yes
2273,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,25944.0,1.0,Yes
2280,> 45 years old,Man,Straight / Heterosexual,Costa Rica,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,,5.0,Yes
2293,25-34 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Both,Employed,13973.0,2.0,No
2319,18-24 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,,,No
2327,35-44 years old,Man,LGBT / Non-hetero,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,,2.0,Yes
2329,18-24 years old,Man,LGBT / Non-hetero,Mexico,Some college/university study without earning a degree,Both,Employed,6450.0,3.0,No
2331,35-44 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,62994.0,5.0,Yes
2379,18-24 years old,Man,Straight / Heterosexual,Spain,"Professional degree (JD, MD, etc.)",Non-traditional,Employed,,8.0,Yes
2435,18-24 years old,Man,Straight / Heterosexual,Peru,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Both,Student,,,No
2437,18-24 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Both,Employed,,,No
2525,25-34 years old,Man,LGBT / Non-hetero,Spain,Some college/university study without earning a degree,Non-traditional,Employed,19452.0,2.0,No
2541,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,,5.0,Yes
2543,35-44 years old,Man,Straight / Heterosexual,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",34591.0,3.0,No
2622,> 45 years old,Man,Straight / Heterosexual,Colombia,"Professional degree (JD, MD, etc.)",Both,Employed,28248.0,5.0,Yes
2623,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,16956.0,7.0,Yes
2628,25-34 years old,Man,Straight / Heterosexual,Colombia,Some college/university study without earning a degree,Non-traditional,Employed,7068.0,3.0,No
2669,18-24 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,68100.0,2.0,Yes
2671,25-34 years old,Man,Straight / Heterosexual,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,25860.0,6.0,Yes
2692,25-34 years old,Man,Straight / Heterosexual,Spain,Primary/elementary school,Non-traditional,Employed,,1.0,No
2729,25-34 years old,Man,Straight / Heterosexual,Spain,Primary/elementary school,Both,Employed,59454.0,4.0,No
2747,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,15564.0,8.0,Yes
2773,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,43239.0,5.0,Yes
2779,Under 18 years old,Man,LGBT / Non-hetero,Peru,Primary/elementary school,Non-traditional,"Independent contractor, freelancer, or self-employed",,,No
2795,18-24 years old,Man,LGBT / Non-hetero,Peru,,Traditional,Student,,,Yes
2822,25-34 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,"Independent contractor, freelancer, or self-employed",36000.0,5.0,Yes
2886,35-44 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,27492.0,4.0,Yes
2902,25-34 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Non-traditional,Employed,,4.0,No
2946,18-24 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Student,,,Yes
3000,25-34 years old,Man,Straight / Heterosexual,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,27096.0,6.0,Yes
3014,35-44 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,32988.0,9.0,Yes
3030,25-34 years old,Man,LGBT / Non-hetero,Uruguay,Some college/university study without earning a degree,Both,Not employed,,,No
3049,18-24 years old,Man,LGBT / Non-hetero,Spain,Some college/university study without earning a degree,Non-traditional,Student,,,No
3084,35-44 years old,Man,Straight / Heterosexual,Mexico,"Professional degree (JD, MD, etc.)",Non-traditional,Employed,100000.0,14.0,Yes
3085,18-24 years old,Man,Straight / Heterosexual,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Non-traditional,Employed,5220.0,3.0,No
3141,25-34 years old,Man,Straight / Heterosexual,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,60000.0,2.0,Yes
3182,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,36753.0,9.0,Yes
3184,35-44 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,,6.0,Yes
3214,35-44 years old,Man,Straight / Heterosexual,Guatemala,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,47184.0,5.0,Yes
3222,35-44 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,46728.0,2.0,Yes
3228,35-44 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,35736.0,4.0,Yes
3240,18-24 years old,Woman,Straight / Heterosexual,Mexico,Some college/university study without earning a degree,Traditional,Employed,7752.0,5.0,No
3261,18-24 years old,Man,Straight / Heterosexual,Colombia,Some college/university study without earning a degree,Non-traditional,Employed,10236.0,4.0,No
3333,25-34 years old,Man,Straight / Heterosexual,Costa Rica,"Professional degree (JD, MD, etc.)",Both,Employed,15864.0,6.0,Yes
3359,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,16488.0,6.0,Yes
3404,25-34 years old,Man,Straight / Heterosexual,Spain,Some college/university study without earning a degree,Traditional,Employed,16860.0,14.0,No
3436,35-44 years old,Man,Straight / Heterosexual,Ecuador,"Professional degree (JD, MD, etc.)",Traditional,Employed,84000.0,5.0,Yes
3441,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,43239.0,,Yes
3469,35-44 years old,Man,LGBT / Non-hetero,Spain,"Professional degree (JD, MD, etc.)",Both,Employed,415092.0,10.5,Yes
3486,25-34 years old,Man,Straight / Heterosexual,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,,5.0,Yes
3492,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Student,,,Yes
3502,18-24 years old,Woman,LGBT / Non-hetero,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Both,Student,,,No
3511,18-24 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,9624.0,4.0,Yes
3514,18-24 years old,Man,Straight / Heterosexual,Peru,Some college/university study without earning a degree,Non-traditional,Employed,7092.0,6.0,No
3530,> 45 years old,Man,Straight / Heterosexual,Panama,"Associate degree (A.A., A.S., etc.)",Both,Employed,,6.0,Yes
3543,35-44 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Both,Employed,1102596.0,4.0,Yes
